Periodo;Descripcion;Region;Indice_IPC
201612;NIVEL GENERAL;Nacional;100.0
201701;NIVEL GENERAL;Nacional;101.5859
201702;NIVEL GENERAL;Nacional;103.6859
201703;NIVEL GENERAL;Nacional;106.1476
201704;NIVEL GENERAL;Nacional;108.9667
201705;NIVEL GENERAL;Nacional;110.5301
201706;NIVEL GENERAL;Nacional;111.8477
201707;NIVEL GENERAL;Nacional;113.7852
201708;NIVEL GENERAL;Nacional;115.3819
201709;NIVEL GENERAL;Nacional;117.5719
201710;NIVEL GENERAL;Nacional;119.3528
201711;NIVEL GENERAL;Nacional;120.994
201712;NIVEL GENERAL;Nacional;124.7956
201801;NIVEL GENERAL;Nacional;126.9887
201802;NIVEL GENERAL;Nacional;130.0606
201803;NIVEL GENERAL;Nacional;133.1054
201804;NIVEL GENERAL;Nacional;136.7512
201805;NIVEL GENERAL;Nacional;139.5893
201806;NIVEL GENERAL;Nacional;144.8053
201807;NIVEL GENERAL;Nacional;149.2966
201808;NIVEL GENERAL;Nacional;155.1034
201809;NIVEL GENERAL;Nacional;165.2383
201810;NIVEL GENERAL;Nacional;174.1473
201811;NIVEL GENERAL;Nacional;179.6388
201812;NIVEL GENERAL;Nacional;184.2552
201901;NIVEL GENERAL;Nacional;189.6101
201902;NIVEL GENERAL;Nacional;196.7501
201903;NIVEL GENERAL;Nacional;205.9571
201904;NIVEL GENERAL;Nacional;213.0517
201905;NIVEL GENERAL;Nacional;219.5691
201906;NIVEL GENERAL;Nacional;225.537
201907;NIVEL GENERAL;Nacional;230.494
201908;NIVEL GENERAL;Nacional;239.6077
201909;NIVEL GENERAL;Nacional;253.7102
201910;NIVEL GENERAL;Nacional;262.0661
201911;NIVEL GENERAL;Nacional;273.2158
201912;NIVEL GENERAL;Nacional;283.4442
202001;NIVEL GENERAL;Nacional;289.8299
202002;NIVEL GENERAL;Nacional;295.666
202003;NIVEL GENERAL;Nacional;305.5515
202004;NIVEL GENERAL;Nacional;310.1243
202005;NIVEL GENERAL;Nacional;314.9087
202006;NIVEL GENERAL;Nacional;321.9738
202007;NIVEL GENERAL;Nacional;328.2014
202008;NIVEL GENERAL;Nacional;337.0632
202009;NIVEL GENERAL;Nacional;346.6207
202010;NIVEL GENERAL;Nacional;359.657
202011;NIVEL GENERAL;Nacional;371.0211
202012;NIVEL GENERAL;Nacional;385.8826
202101;NIVEL GENERAL;Nacional;401.5071
202102;NIVEL GENERAL;Nacional;415.8595
202103;NIVEL GENERAL;Nacional;435.8657
202104;NIVEL GENERAL;Nacional;453.6503
202105;NIVEL GENERAL;Nacional;468.725
202106;NIVEL GENERAL;Nacional;483.6049
202107;NIVEL GENERAL;Nacional;498.0987
202108;NIVEL GENERAL;Nacional;510.3942
202109;NIVEL GENERAL;Nacional;528.4968
202110;NIVEL GENERAL;Nacional;547.0802
202111;NIVEL GENERAL;Nacional;560.9184
202112;NIVEL GENERAL;Nacional;582.4575
202201;NIVEL GENERAL;Nacional;605.0317
202202;NIVEL GENERAL;Nacional;633.4341
202203;NIVEL GENERAL;Nacional;676.0566
202204;NIVEL GENERAL;Nacional;716.9399
202205;NIVEL GENERAL;Nacional;753.147
202206;NIVEL GENERAL;Nacional;793.0278
202207;NIVEL GENERAL;Nacional;851.761
202208;NIVEL GENERAL;Nacional;911.1316
202209;NIVEL GENERAL;Nacional;967.3076
202210;NIVEL GENERAL;Nacional;1028.706
202211;NIVEL GENERAL;Nacional;1079.2787
202212;NIVEL GENERAL;Nacional;1134.5875
202301;NIVEL GENERAL;Nacional;1202.979
202302;NIVEL GENERAL;Nacional;1282.7091
202303;NIVEL GENERAL;Nacional;1381.1601
202304;NIVEL GENERAL;Nacional;1497.2147
202305;NIVEL GENERAL;Nacional;1613.5895
202306;NIVEL GENERAL;Nacional;1709.6115
202307;NIVEL GENERAL;Nacional;1818.0838
202308;NIVEL GENERAL;Nacional;2044.2832
202309;NIVEL GENERAL;Nacional;2304.9242
202310;NIVEL GENERAL;Nacional;2496.273
202311;NIVEL GENERAL;Nacional;2816.0628
202312;NIVEL GENERAL;Nacional;3533.1922
202401;NIVEL GENERAL;Nacional;4261.5324
202402;NIVEL GENERAL;Nacional;4825.7881
202403;NIVEL GENERAL;Nacional;5357.0929
202404;NIVEL GENERAL;Nacional;5830.227
202405;NIVEL GENERAL;Nacional;6073.717
202406;NIVEL GENERAL;Nacional;6351.715
202407;NIVEL GENERAL;Nacional;6607.748
202408;NIVEL GENERAL;Nacional;6883.441
202409;NIVEL GENERAL;Nacional;7122.242
202410;NIVEL GENERAL;Nacional;7313.954
202411;NIVEL GENERAL;Nacional;7491.431
202412;NIVEL GENERAL;Nacional;7694.0075
202501;NIVEL GENERAL;Nacional;7864.1257
202502;NIVEL GENERAL;Nacional;8052.9927
202503;NIVEL GENERAL;Nacional;8353.3158
202504;NIVEL GENERAL;Nacional;8585.6078
202505;NIVEL GENERAL;Nacional;8714.4871
202506;NIVEL GENERAL;Nacional;8855.5681
202507;NIVEL GENERAL;Nacional;9023.973
